Abertura,Fechamento,Mínima,Máxima
25197.8,24282.5,24531.8,26623.0
25879.5,25244.4,25124.4,25693.9
25724.1,25931.2,25264.2,25810.1
26594.7,25775.9,25522.9,26315.5
26593.4,26645.7,26606.8,26597.9
26587.8,26663.6,26549.6,26913.8
26076.4,26639.9,25812.2,26571.0
27414.2,26126.6,26301.0,27540.6
26249.2,27467.6,26440.2,27379.5
25343.3,26299.8,25251.1,26226.1
25001.5,25038.5,23308.8,25009.8
24833.8,25054.6,24872.7,25530.4
24703.9,24878.3,24186.1,25070.4
26250.5,24753.0,24421.8,25893.7
26584.2,26303.8,26092.9,26538.3
28985.7,26632.2,26146.9,29785.4
29588.3,29043.6,29213.9,30271.4
30446.5,29636.5,29315.8,30322.0
30891.3,30518.1,30330.0,30710.9
29370.1,30944.3,29829.3,30683.6
21138.9,21322.6,21077.4,21469.9
20830.7,21138.9,20784.8,21357.4
23201.6,20831.3,20807.8,23202.3
23337.7,23203.6,23131.3,23578.0
23855.8,23338.0,23191.6,24423.5
24102.6,23856.8,23693.8,24240.8
24303.3,24101.7,23784.5,25205.7
24442.1,24302.8,24172.2,24997.3
24398.9,24442.5,24318.7,24882.9
23935.3,24398.7,23616.4,24440.8
23963.3,23935.3,23864.0,24873.5
23150.3,23962.9,22714.7,24209.9
23818.1,23146.7,22886.5,23912.0
23175.3,23816.3,23160.6,24234.1
22944.2,23175.3,22852.3,23387.7
23308.2,22944.2,22923.6,23344.4
22613.3,23308.2,22593.5,23447.6
22822.2,22612.1,22438.7,23214.5
22988.7,22820.8,22698.6,23623.7
23271.1,22988.6,22670.8,23423.3
23303.4,23271.2,22863.8,23484.4
23634.2,23303.4,23236.2,24179.3
23774.2,23634.2,23521.8,24605.3
23850.2,23774.3,23451.4,24340.0
22957.7,23850.0,22611.6,24190.5
21248.0,22958.3,21047.5,23027.8
21301.6,21248.7,20737.3,21322.3
22582.3,21301.9,21275.4,22653.3
22449.8,22582.1,22281.3,22987.9
22683.6,22460.4,21971.7,22991.0
23150.0,22675.2,22524.2,23741.4
23219.9,23153.0,22360.2,23403.8
23412.0,23215.2,22944.4,24258.0
22529.3,23410.2,21581.8,23757.3
20785.6,22525.8,20770.6,22714.9
21209.8,20785.6,20755.2,21654.4
20825.2,21209.9,20484.4,21561.3
20586.1,20825.1,20393.4,21178.1
20250.0,20586.0,19664.9,20862.2
19331.6,20250.0,18942.2,20250.8
19963.2,19330.9,19279.6,20051.7
20847.2,19963.2,19897.0,20855.0
21587.4,20847.4,20689.7,21599.2
21610.4,21587.5,21338.4,21944.1
21637.1,21611.2,21207.0,22482.1
20557.9,21637.8,20282.7,21817.8
20180.4,20561.1,19785.3,20654.9
20215.8,20200.6,19315.4,20706.9
19310.6,20215.8,19052.5,20303.8
19243.4,19309.9,18794.4,19626.4
19275.4,19243.2,19006.4,19425.4
19926.6,19262.9,18980.1,20785.6
20111.3,19926.6,18682.7,20155.1
20278.0,20111.3,19880.7,20415.8
20727.9,20278.0,20210.5,21200.2
21037.7,20730.2,20568.0,21497.5
21489.9,21043.5,20989.7,21837.4
21226.9,21489.9,20917.5,21553.4
21100.9,21226.9,20743.9,21488.7
19967.3,21100.7,19907.5,21189.8
20720.2,19965.8,19780.2,20864.3
20571.6,20720.4,20371.7,21689.3
20576.9,20572.3,19658.8,20996.8
18983.4,20577.2,17983.7,20763.5
20446.4,18986.5,17630.5,20744.7
20391.3,20444.6,20244.1,21315.4
22577.9,20386.6,20231.1,22942.1
22137.5,22577.9,20125.8,22754.4
22449.1,22157.3,20860.9,23200.3
26606.3,22448.0,22006.3,26857.6
28404.0,26606.3,26606.3,28534.8
29083.3,28403.4,28161.8,29426.6
30097.4,29083.3,28884.9,30325.6
30202.1,30097.8,29953.8,30691.4
31127.2,30201.6,29874.8,31312.1
31370.3,31128.8,29235.0,31556.6
29911.2,31367.6,29888.6,31753.4
29865.1,29913.0,29539.0,30166.9
29700.9,29864.3,29489.5,29963.8
30455.7,29700.9,29330.8,30674.8
29798.6,30455.5,29604.4,30638.5
31793.1,29798.5,29396.6,31969.9
31730.2,31793.4,31221.2,32377.5
29465.2,31723.3,29307.2,32185.6
29027.1,29465.2,28838.7,29556.5
28620.1,29027.1,28537.2,29194.4
29194.0,28601.2,28282.2,29377.1
29537.9,29203.5,28077.9,29868.9
29648.7,29540.6,29353.5,30202.3
29091.6,29648.7,28706.1,29810.8
30287.3,29093.3,28913.6,30644.8
29433.0,30286.6,29260.1,30462.0
29188.7,29434.6,28953.9,29623.2
30305.9,29178.6,28738.5,30735.1
28700.4,30305.9,28682.1,30525.1
30437.5,28683.7,28648.1,30687.9
29856.7,30437.5,29484.5,30720.1
31308.3,29849.0,29135.8,31312.4
30078.6,31308.7,29499.4,31383.8
29285.2,30080.4,28666.7,30277.4
28994.3,29284.4,28755.0,31002.7
29073.4,28976.0,26500.5,30136.7
31008.0,29068.2,27835.5,32113.6
30098.2,31007.5,29831.0,32621.2
34041.0,30095.0,30095.0,34227.0
35468.0,34060.0,33727.0,35497.0
36003.0,35468.0,34773.0,36119.0
36540.0,36009.0,35267.0,36646.0
39686.0,36544.0,36183.0,39833.0
37717.0,39688.0,37660.0,40021.0
38515.0,37718.0,37513.0,38647.0
38472.0,38514.0,38061.0,39134.0
37642.0,38461.0,37397.0,38676.0
38590.0,37650.0,37596.0,38776.0
39748.0,38581.0,38175.0,39919.0
39243.0,39748.0,38888.0,40382.0
38113.0,39243.0,37869.0,39447.0
40443.0,38113.0,37708.0,40770.0
39464.0,40427.0,38233.0,40599.0
39434.0,39464.0,39033.0,39929.0
39709.0,39418.0,39291.0,39973.0
40487.0,39709.0,39200.0,40792.0
41370.0,40482.0,39793.0,42969.0
41499.0,41368.0,40915.0,42203.0
40809.0,41503.0,40585.0,41746.0
39700.0,40803.0,38577.0,41095.0
40382.0,39703.0,39561.0,40599.0
40571.0,40382.0,40003.0,40691.0
39936.0,40560.0,39781.0,40850.0
41133.0,39936.0,39585.0,41494.0
40072.0,41133.0,39581.0,41515.0
39507.0,40078.0,39265.0,40678.0
42144.0,39497.0,39202.0,42418.0
42760.0,42138.0,41884.0,43421.0
42275.0,42767.0,42129.0,42809.0
43450.0,42275.0,42113.0,43979.0
43166.0,43448.0,42747.0,43893.0
45494.0,43173.0,43122.0,45519.0
46614.0,45506.0,45388.0,47201.0
46407.0,46629.0,45152.0,46899.0
45813.0,46407.0,45554.0,47435.0
46299.0,45811.0,45641.0,47212.0
45529.0,46297.0,44261.0,46728.0
47071.0,45525.0,45228.0,47624.0
47449.0,47075.0,46601.0,47714.0
47126.0,47449.0,47029.0,48127.0
46859.0,47105.0,46672.0,48199.0
44542.0,46859.0,44445.0,46947.0
44331.0,44548.0,44090.0,44818.0
44013.0,44331.0,43622.0,45112.0
42911.0,44013.0,42658.0,44251.0
42373.0,42912.0,41795.0,43027.0
41022.0,42373.0,40893.0,43327.9
41282.0,41022.0,40530.0,41532.0
42241.0,41276.0,40922.0,42301.0
41768.0,42233.0,41529.6,42386.0
40914.6,41767.8,40234.8,42308.4
41118.7,40914.8,40557.8,41406.0
39282.5,41118.7,38953.2,41701.6
39673.0,39285.7,38220.9,39854.7
37789.5,39671.1,37613.6,39914.3
38813.2,37792.4,37603.4,39272.3
38730.2,38814.3,38666.5,39355.3
39422.5,38730.2,38236.4,40177.0
41933.9,39416.3,38603.5,42029.1
38731.5,41929.0,38663.3,42538.5
38020.6,38744.8,37886.6,39351.5
38420.6,38024.8,37182.1,39532.0
39396.3,38403.1,38115.0,39668.1
39142.8,39395.8,38626.1,39600.2
42463.0,39142.7,38594.9,42848.7
43912.8,42463.0,41840.8,44077.2
44420.3,43912.8,43361.3,45294.2
43187.2,44420.3,42876.6,44900.5
37707.2,43188.2,37458.9,43977.8
39116.6,37689.1,37062.3,39838.5
39221.6,39115.5,38639.1,40094.5
38339.2,39209.6,38042.6,39683.7
37250.2,38339.2,34357.4,39351.6
38248.2,37224.6,37099.5,39194.5
37018.3,38248.2,36399.6,38414.9
38355.0,37017.7,36868.9,39444.1
40089.6,38355.0,38042.2,40120.3
40000.1,40090.3,39666.6,40434.3
40532.5,40000.1,39505.0,40935.5
43885.5,40552.8,40103.8,44167.1
44540.9,43883.6,43377.6,44552.9
42550.3,44544.4,42460.1,44722.6
42061.1,42550.3,41591.3,42799.7
42205.5,42061.1,41880.1,42725.1
42388.4,42205.2,41776.8,43006.4
43519.3,42388.4,42023.4,43915.1
44388.9,43521.0,43242.5,45755.2
44038.2,44388.9,43163.0,44800.4
43833.9,44038.2,42705.0,45399.8
42385.2,43833.9,41695.4,44468.3
41411.9,42392.2,41176.3,42614.8
41566.5,41412.1,40963.3,41899.8
37287.8,41567.6,37041.1,41689.0
36890.2,37287.8,36297.3,37304.3
38711.2,36890.2,36682.3,38853.8
38475.6,38709.7,38037.9,39230.0
37923.8,38498.6,36672.8,38701.4
38167.5,37917.7,37390.6,38313.3
37736.5,38170.8,37350.2,38663.7
37195.6,37745.1,36176.5,37995.9
36800.1,37164.3,35543.2,37215.4
36962.3,36800.4,36280.0,38862.6
36691.3,36950.6,35729.3,37501.8
36268.6,36686.3,32985.6,37424.0
35072.9,36269.5,34655.2,36513.0
36467.7,35075.2,34116.0,36749.8
40698.1,36475.5,35503.9,41104.6
41683.6,40715.9,40568.3,43487.1
42365.3,41677.8,41160.9,42558.0
42209.9,42364.6,41300.7,42674.2
43080.5,42209.3,41559.4,43179.6
43079.2,43079.1,42643.3,43462.0
43073.6,43097.0,42586.1,43777.9
42562.2,43073.3,41848.7,43435.1
43900.0,42560.0,42337.5,44404.7
42735.0,43901.0,42476.7,44243.6
41829.1,42733.2,41287.6,43090.2